dow,start_hour,avg_trips
1,0,1.1307692307692303
1,1,1.1511627906976742
1,2,1.12621359223301
1,3,1.0612244897959187
1,4,1.0370370370370372
1,5,1.0588235294117647
1,6,1.0652173913043477
1,7,1.1146788990825693
1,8,1.1828422876949756
1,9,1.268012849931161
1,10,1.356586270871983
1,11,1.419905213270145
1,12,1.4558027660853885
1,13,1.4498820754717008
1,14,1.4525392986698982
1,15,1.4591176470588252
1,16,1.4409820585457989
1,17,1.3743645606390738
1,18,1.3213451658103677
1,19,1.2763480392156876
1,20,1.2066666666666674
1,21,1.177437020810513
1,22,1.1305057096247961
1,23,1.1084905660377364
2,0,1.134328358208956
2,1,1.1442307692307692
2,2,1.2131147540983613
2,3,1.0631578947368416
2,4,1.0358565737051788
2,5,1.0587515299877603
2,6,1.3375130616509916
2,7,2.0985301243740966
2,8,3.1582671300893725
2,9,2.4194482758620754
2,10,1.4787164374590676
2,11,1.3885496183206063
2,12,1.457374830852501
2,13,1.4019277108433743
2,14,1.3615617266978308
2,15,1.4807525951557114
2,16,2.1644654525232885
2,17,3.0034038414782396
2,18,2.2365591397849403
2,19,1.5739523418241572
2,20,1.2866157422783127
2,21,1.2017145738779613
2,22,1.124125874125873
2,23,1.0950819672131131
3,0,1.0709219858156025
3,1,1.0471698113207546
3,2,1.0483870967741935
3,3,1.0
3,4,1.0077821011673154
3,5,1.0655903128153363
3,6,1.3770992366412214
3,7,2.166965620328846
3,8,3.3181603773584847
3,9,2.4664140094093026
3,10,1.482891360136867
3,11,1.414794007490639
3,12,1.5111468166298512
3,13,1.433805349516748
3,14,1.33930891140556
3,15,1.5011282051282056
3,16,2.1950046747695997
3,17,2.9883789177133426
3,18,2.3174097664543467
3,19,1.5615517572498547
3,20,1.3106128550074712
3,21,1.2181088314005362
3,22,1.1656399726214928
3,23,1.106821106821109
4,0,1.0878787878787877
4,1,1.0734463276836164
4,2,1.1294117647058828
4,3,1.0769230769230769
4,4,1.0199203187250991
4,5,1.0589999999999993
4,6,1.3401797175866503
4,7,2.1000911300121556
4,8,3.250751292222625
4,9,2.502644802962165
4,10,1.4861227922624085
4,11,1.3994940202391883
4,12,1.4994792751510093
4,13,1.448245025709815
4,14,1.3498970133882584
4,15,1.5117707267144342
4,16,2.1563641282294146
4,17,2.940825578620853
4,18,2.271900040744264
4,19,1.5803192564154318
4,20,1.3305033353547566
4,21,1.218400331537508
4,22,1.1658291457286438
4,23,1.1011363636363636
5,0,1.0526315789473688
5,1,1.0542168674698802
5,2,1.1392405063291142
5,3,1.0235294117647056
5,4,1.01556420233463
5,5,1.0594059405940615
5,6,1.3234800134363458
5,7,2.0875000000000106
5,8,3.2017230769230793
5,9,2.4578394396551726
5,10,1.5064797110686194
5,11,1.461743772241995
5,12,1.5292368681863202
5,13,1.4777191129883807
5,14,1.3970193012460308
5,15,1.557001239157375
5,16,2.1492433708177168
5,17,2.8652900688298937
5,18,2.2085028763855736
5,19,1.5534201281256435
5,20,1.2869869551384021
5,21,1.2350829968595778
5,22,1.183634020618559
5,23,1.0936863543788196
6,0,1.0648379052369084
6,1,1.0466321243523324
6,2,1.1309523809523814
6,3,1.0389610389610389
6,4,1.0128205128205132
6,5,1.0633540372670813
6,6,1.3013539651837536
6,7,1.9469210754553288
6,8,2.8653254741158376
6,9,2.339786756453418
6,10,1.5072992700729904
6,11,1.4777903043968403
6,12,1.526004487048744
6,13,1.5165945165945138
6,14,1.4633161319273016
6,15,1.5897386992180091
6,16,2.133424657534235
6,17,2.5642131979695333
6,18,1.9119025304592199
6,19,1.4301075268817212
6,20,1.236098852603706
6,21,1.2051282051282033
6,22,1.2018813314037635
6,23,1.1799807507218483
7,0,1.1236933797909405
7,1,1.1058201058201074
7,2,1.0922330097087378
7,3,1.0422535211267605
7,4,1.1500000000000004
7,5,1.0873015873015877
7,6,1.0581039755351689
7,7,1.0880579010856444
7,8,1.1718750000000002
7,9,1.25957620211899
7,10,1.3618251928020566
7,11,1.4467315716272615
7,12,1.4993453783713002
7,13,1.5152390961639508
7,14,1.4848979591836766
7,15,1.461109562308338
7,16,1.4787203656098258
7,17,1.3757396449704153
7,18,1.3557251908396935
7,19,1.284188034188034
7,20,1.240219629375429
7,21,1.1991150442477874
7,22,1.1819923371647505
7,23,1.1428571428571428
